"id","name","created_at","updated_at"
"1","AC",NULL,NULL
"2","Acura",NULL,NULL
"3","Alfa Romeo",NULL,NULL
"4","Alpine",NULL,NULL
"5","AM General",NULL,NULL
"6","Ariel",NULL,NULL
"7","Aro",NULL,NULL
"8","Asia",NULL,NULL
"9","Aston Martin",NULL,NULL
"10","Audi",NULL,NULL
"11","Austin",NULL,NULL
"12","Autobianchi",NULL,NULL
"13","Baltijas Dzips",NULL,NULL
"14","Beijing",NULL,NULL
"15","Bentley",NULL,NULL
"16","Bertone",NULL,NULL
"17","Bitter",NULL,NULL
"18","BMW",NULL,NULL
"19","BMW Alpina",NULL,NULL
"20","Brabus",NULL,NULL
"21","Brilliance",NULL,NULL
"22","Bristol",NULL,NULL
"23","Bufori",NULL,NULL
"24","Bugatti",NULL,NULL
"25","Buick",NULL,NULL
"26","BYD",NULL,NULL
"27","Byvin",NULL,NULL
"28","Cadillac",NULL,NULL
"29","Callaway",NULL,NULL
"30","Carbodies",NULL,NULL
"31","Caterham",NULL,NULL
"32","Changan",NULL,NULL
"33","ChangFeng",NULL,NULL
"34","Chery",NULL,NULL
"35","Chevrolet",NULL,NULL
"36","Chrysler",NULL,NULL
"37","Citroen",NULL,NULL
"38","Cizeta",NULL,NULL
"39","Coggiola",NULL,NULL
"40","Dacia",NULL,NULL
"41","Dadi",NULL,NULL
"42","Daewoo",NULL,NULL
"43","DAF",NULL,NULL
"44","Daihatsu",NULL,NULL
"45","Daimler",NULL,NULL
"46","Dallas",NULL,NULL
"47","Datsun",NULL,NULL
"48","De Tomaso",NULL,NULL
"49","DeLorean",NULL,NULL
"50","Derways",NULL,NULL
"51","Dodge",NULL,NULL
"52","DongFeng",NULL,NULL
"53","Doninvest",NULL,NULL
"54","Donkervoort",NULL,NULL
"55","E-Car",NULL,NULL
"56","Eagle",NULL,NULL
"57","Eagle Cars",NULL,NULL
"58","Ecomotors",NULL,NULL
"59","FAW",NULL,NULL
"60","Ferrari",NULL,NULL
"61","Fiat",NULL,NULL
"62","Fisker",NULL,NULL
"63","Ford",NULL,NULL
"64","Foton",NULL,NULL
"65","FSO",NULL,NULL
"66","Fuqi",NULL,NULL
"67","Geely",NULL,NULL
"68","Geo",NULL,NULL
"69","GMC",NULL,NULL
"70","Gonow",NULL,NULL
"71","Great Wall",NULL,NULL
"72","Hafei",NULL,NULL
"73","Haima",NULL,NULL
"74","Hindustan",NULL,NULL
"75","Holden",NULL,NULL
"76","Honda",NULL,NULL
"77","HuangHai",NULL,NULL
"78","Hummer",NULL,NULL
"79","Hyundai",NULL,NULL
"80","Infiniti",NULL,NULL
"81","Innocenti",NULL,NULL
"82","Invicta",NULL,NULL
"83","Iran Khodro",NULL,NULL
"84","Isdera",NULL,NULL
"85","Isuzu",NULL,NULL
"86","IVECO",NULL,NULL
"87","JAC",NULL,NULL
"88","Jaguar",NULL,NULL
"89","Jeep",NULL,NULL
"90","Jensen",NULL,NULL
"91","JMC",NULL,NULL
"92","Kia",NULL,NULL
"93","Koenigsegg",NULL,NULL
"94","KTM",NULL,NULL
"95","Lamborghini",NULL,NULL
"96","Lancia",NULL,NULL
"97","Land Rover",NULL,NULL
"98","Landwind",NULL,NULL
"99","Lexus",NULL,NULL
"100","Liebao Motor",NULL,NULL
"101","Lifan",NULL,NULL
"102","Lincoln",NULL,NULL
"103","Lotus",NULL,NULL
"104","LTI",NULL,NULL
"105","Luxgen",NULL,NULL
"106","Mahindra",NULL,NULL
"107","Marcos",NULL,NULL
"108","Marlin",NULL,NULL
"109","Marussia",NULL,NULL
"110","Maruti",NULL,NULL
"111","Maserati",NULL,NULL
"112","Maybach",NULL,NULL
"113","Mazda",NULL,NULL
"114","McLaren",NULL,NULL
"115","Mega",NULL,NULL
"116","Mercedes-Benz",NULL,NULL
"117","Mercury",NULL,NULL
"118","Metrocab",NULL,NULL
"119","MG",NULL,NULL
"120","Microcar",NULL,NULL
"121","Minelli",NULL,NULL
"122","Mini",NULL,NULL
"123","Mitsubishi",NULL,NULL
"124","Mitsuoka",NULL,NULL
"125","Morgan",NULL,NULL
"126","Morris",NULL,NULL
"127","Nissan",NULL,NULL
"128","Noble",NULL,NULL
"129","Oldsmobile",NULL,NULL
"130","Opel",NULL,NULL
"131","Osca",NULL,NULL
"132","Pagani",NULL,NULL
"133","Panoz",NULL,NULL
"134","Perodua",NULL,NULL
"135","Peugeot",NULL,NULL
