"id","car_model_id","name","year_begin","year_end","created_at","updated_at"
"1","2123","Nissan Qashqai II","2014",NULL,NULL,NULL
"2","2123","Nissan Qashqai I Рестайлинг","2010","2013",NULL,NULL
"3","2123","Nissan Qashqai I","2006","2010",NULL,NULL
"4","7","Acura EL II","2001","2005",NULL,NULL
"5","7","Acura EL I","1997","2000",NULL,NULL
"6","9","Acura Integra III","1993","2001",NULL,NULL
"7","9","Acura Integra II","1989","1993",NULL,NULL
"8","9","Acura Integra I","1985","1990",NULL,NULL
"9","10","Acura Legend II","1990","1996",NULL,NULL
"10","10","Acura Legend I","1986","1990",NULL,NULL
"11","11","Acura MDX III","2013",NULL,NULL,NULL
"12","11","Acura MDX II","2007","2013",NULL,NULL
"13","11","Acura MDX I","2001","2006",NULL,NULL
"14","13","Acura RDX II","2012",NULL,NULL,NULL
"15","13","Acura RDX I","2006","2012",NULL,NULL
"16","14","Acura RL II","2004","2012",NULL,NULL
"17","14","Acura RL I","1995","2004",NULL,NULL
"18","18","Acura TL IV","2008",NULL,NULL,NULL
"19","18","Acura TL III","2003","2008",NULL,NULL
"20","18","Acura TL II","1999","2003",NULL,NULL
"21","18","Acura TL I","1995","1998",NULL,NULL
"22","19","Acura TSX II","2008",NULL,NULL,NULL
"23","19","Acura TSX I","2003","2008",NULL,NULL
"27","28","Alfa Romeo 166 I Рестайлинг","2003","2007",NULL,NULL
"28","28","Alfa Romeo 166 I","1998","2003",NULL,NULL
"29","29","Alfa Romeo 33 II","1990","1994",NULL,NULL
"30","29","Alfa Romeo 33 I","1983","1993",NULL,NULL
"34","40","Alfa Romeo Giulietta II","2010",NULL,NULL,NULL
"35","40","Alfa Romeo Giulietta I","1977","1985",NULL,NULL
"36","47","Alfa Romeo Spider III","2006","2010",NULL,NULL
"37","47","Alfa Romeo Spider II","1995","2005",NULL,NULL
"38","47","Alfa Romeo Spider I","1966","1993",NULL,NULL
"42","63","Aston Martin DB9 I Рестайлинг","2007",NULL,NULL,NULL
"43","63","Aston Martin DB9 I","2003","2007",NULL,NULL
"46","67","Aston Martin Rapide I S","2013",NULL,NULL,NULL
"47","67","Aston Martin Rapide I","2010","2013",NULL,NULL
"48","69","Aston Martin V12 Vanquish II","2012",NULL,NULL,NULL
"49","69","Aston Martin V12 Vanquish I","2001","2007",NULL,NULL
"52","74","Aston Martin Virage II","2011","2012",NULL,NULL
"53","74","Aston Martin Virage I","1988","2000",NULL,NULL
"54","78","Audi 80 V (B4)","1991","1996",NULL,NULL
"55","78","Audi 80 IV (B3)","1986","1991",NULL,NULL
"56","78","Audi 80 III (B2)","1978","1986",NULL,NULL
