"id","car_model_id","car_generation_id","name","created_at","updated_at"
"457","350",NULL,"C-Crosser",NULL,NULL
"458","351",NULL,"C-Elysee",NULL,NULL
"461","353",NULL,"C2",NULL,NULL
"464","356",NULL,"C4 Aircross",NULL,NULL
"465","357",NULL,"C4 Cactus",NULL,NULL
"471","361",NULL,"C6",NULL,NULL
"477","365",NULL,"DS4",NULL,NULL
"478","366",NULL,"DS5",NULL,NULL
"479","367",NULL,"Dyane",NULL,NULL
"480","368",NULL,"Evasion",NULL,NULL
"483","370",NULL,"LNA",NULL,NULL
"486","372",NULL,"Visa",NULL,NULL
"494","376",NULL,"Xsara Picasso",NULL,NULL
"498","378",NULL,"V16t",NULL,NULL
"505","382",NULL,"1410",NULL,NULL
"506","383",NULL,"Dokker",NULL,NULL
"508","385",NULL,"Lodgy",NULL,NULL
"511","387",NULL,"Nova",NULL,NULL
"513","389",NULL,"Solenza",NULL,NULL
"515","391",NULL,"Shuttle",NULL,NULL
"534","404",NULL,"LE Mans",NULL,NULL
"535","405",NULL,"Leganza",NULL,NULL
"536","406",NULL,"Magnus",NULL,NULL
"538","408",NULL,"Musso",NULL,NULL
"542","411",NULL,"Prince",NULL,NULL
"545","413",NULL,"Rezzo",NULL,NULL
"546","414",NULL,"Tacuma",NULL,NULL
"547","415",NULL,"Tico",NULL,NULL
"548","416",NULL,"Tosca",NULL,NULL
"558","422",NULL,"Atrai",NULL,NULL
"559","423",NULL,"Be-go",NULL,NULL
"560","424",NULL,"Boon",NULL,NULL
"561","425",NULL,"Ceria",NULL,NULL
"581","431",NULL,"Delta Wagon",NULL,NULL
"582","432",NULL,"Esse",NULL,NULL
"585","434",NULL,"Gran Move",NULL,NULL
"588","436",NULL,"Materia",NULL,NULL
"589","437",NULL,"MAX",NULL,NULL
"594","441",NULL,"Naked",NULL,NULL
"598","443",NULL,"Pyzar",NULL,NULL
"602","446",NULL,"Sonica",NULL,NULL
"603","447",NULL,"Storia",NULL,NULL
"604","448",NULL,"Taft",NULL,NULL
"618","461",NULL,"XJS",NULL,NULL
"619","462",NULL,"Jeep",NULL,NULL
"620","463",NULL,"280ZX",NULL,NULL
"621","464",NULL,"720",NULL,NULL
"647","472",NULL,"Violet",NULL,NULL
"648","473",NULL,"Bigua",NULL,NULL
"651","475",NULL,"Mangusta",NULL,NULL
"652","476",NULL,"Pantera",NULL,NULL
